Category: All categories

Week,padel: (Berlin)
2022-09-04,10
2022-09-11,15
2022-09-18,0
2022-09-25,15
2022-10-02,14
2022-10-09,16
2022-10-16,22
2022-10-23,17
2022-10-30,16
2022-11-06,11
2022-11-13,17
2022-11-20,15
2022-11-27,13
2022-12-04,11
2022-12-11,12
2022-12-18,17
2022-12-25,17
2023-01-01,22
2023-01-08,17
2023-01-15,26
2023-01-22,19
2023-01-29,16
2023-02-05,20
2023-02-12,18
2023-02-19,21
2023-02-26,22
2023-03-05,20
2023-03-12,17
2023-03-19,18
2023-03-26,23
2023-04-02,19
2023-04-09,34
2023-04-16,21
2023-04-23,20
2023-04-30,23
2023-05-07,13
2023-05-14,24
2023-05-21,23
2023-05-28,20
2023-06-04,25
2023-06-11,29
2023-06-18,32
2023-06-25,29
2023-07-02,14
2023-07-09,23
2023-07-16,29
2023-07-23,28
2023-07-30,28
2023-08-06,30
2023-08-13,25
2023-08-20,25
2023-08-27,30
2023-09-03,36
2023-09-10,33
2023-09-17,26
2023-09-24,28
2023-10-01,26
2023-10-08,20
2023-10-15,8
2023-10-22,23
2023-10-29,23
2023-11-05,22
2023-11-12,26
2023-11-19,21
2023-11-26,15
2023-12-03,16
2023-12-10,21
2023-12-17,16
2023-12-24,16
2023-12-31,23
2024-01-07,14
2024-01-14,29
2024-01-21,17
2024-01-28,24
2024-02-04,26
2024-02-11,24
2024-02-18,24
2024-02-25,26
2024-03-03,22
2024-03-10,22
2024-03-17,30
2024-03-24,22
2024-03-31,30
2024-04-07,24
2024-04-14,30
2024-04-21,25
2024-04-28,30
2024-05-05,32
2024-05-12,36
2024-05-19,39
2024-05-26,42
2024-06-02,38
2024-06-09,32
2024-06-16,29
2024-06-23,38
2024-06-30,32
2024-07-07,46
2024-07-14,35
2024-07-21,40
2024-07-28,54
2024-08-04,47
2024-08-11,46
2024-08-18,54
2024-08-25,48
2024-09-01,63
2024-09-08,43
2024-09-15,40
2024-09-22,37
2024-09-29,45
2024-10-06,34
2024-10-13,37
2024-10-20,42
2024-10-27,38
2024-11-03,33
2024-11-10,34
2024-11-17,41
2024-11-24,37
2024-12-01,38
2024-12-08,28
2024-12-15,27
2024-12-22,36
2024-12-29,31
2025-01-05,32
2025-01-12,32
2025-01-19,33
2025-01-26,25
2025-02-02,30
2025-02-09,36
2025-02-16,30
2025-02-23,38
2025-03-02,31
2025-03-09,42
2025-03-16,51
2025-03-23,48
2025-03-30,45
2025-04-06,46
2025-04-13,46
2025-04-20,54
2025-04-27,59
2025-05-04,56
2025-05-11,69
2025-05-18,67
2025-05-25,74
2025-06-01,81
2025-06-08,73
2025-06-15,76
2025-06-22,75
2025-06-29,72
2025-07-06,87
2025-07-13,78
2025-07-20,85
2025-07-27,90
2025-08-03,95
2025-08-10,92
2025-08-17,94
2025-08-24,84
2025-08-31,100
2025-09-07,93
2025-09-14,78
2025-09-21,66
2025-09-28,76
2025-10-05,71
