Category: All categories

Week,padel: (Hesse)
2022-09-04,12
2022-09-11,10
2022-09-18,12
2022-09-25,8
2022-10-02,12
2022-10-09,12
2022-10-16,14
2022-10-23,9
2022-10-30,11
2022-11-06,10
2022-11-13,9
2022-11-20,16
2022-11-27,12
2022-12-04,8
2022-12-11,9
2022-12-18,10
2022-12-25,8
2023-01-01,13
2023-01-08,15
2023-01-15,11
2023-01-22,11
2023-01-29,12
2023-02-05,12
2023-02-12,10
2023-02-19,14
2023-02-26,11
2023-03-05,13
2023-03-12,15
2023-03-19,17
2023-03-26,10
2023-04-02,11
2023-04-09,14
2023-04-16,14
2023-04-23,13
2023-04-30,9
2023-05-07,14
2023-05-14,13
2023-05-21,20
2023-05-28,17
2023-06-04,15
2023-06-11,12
2023-06-18,13
2023-06-25,17
2023-07-02,20
2023-07-09,17
2023-07-16,21
2023-07-23,20
2023-07-30,15
2023-08-06,16
2023-08-13,18
2023-08-20,17
2023-08-27,17
2023-09-03,15
2023-09-10,24
2023-09-17,19
2023-09-24,18
2023-10-01,21
2023-10-08,19
2023-10-15,15
2023-10-22,22
2023-10-29,25
2023-11-05,19
2023-11-12,17
2023-11-19,15
2023-11-26,18
2023-12-03,15
2023-12-10,12
2023-12-17,7
2023-12-24,16
2023-12-31,14
2024-01-07,20
2024-01-14,17
2024-01-21,10
2024-01-28,25
2024-02-04,23
2024-02-11,18
2024-02-18,15
2024-02-25,22
2024-03-03,24
2024-03-10,18
2024-03-17,21
2024-03-24,21
2024-03-31,28
2024-04-07,24
2024-04-14,25
2024-04-21,24
2024-04-28,26
2024-05-05,26
2024-05-12,26
2024-05-19,33
2024-05-26,30
2024-06-02,27
2024-06-09,27
2024-06-16,24
2024-06-23,26
2024-06-30,25
2024-07-07,25
2024-07-14,42
2024-07-21,42
2024-07-28,42
2024-08-04,40
2024-08-11,41
2024-08-18,38
2024-08-25,42
2024-09-01,51
2024-09-08,52
2024-09-15,36
2024-09-22,29
2024-09-29,39
2024-10-06,39
2024-10-13,41
2024-10-20,32
2024-10-27,34
2024-11-03,35
2024-11-10,35
2024-11-17,33
2024-11-24,38
2024-12-01,31
2024-12-08,39
2024-12-15,32
2024-12-22,40
2024-12-29,38
2025-01-05,42
2025-01-12,45
2025-01-19,39
2025-01-26,40
2025-02-02,36
2025-02-09,39
2025-02-16,31
2025-02-23,42
2025-03-02,43
2025-03-09,43
2025-03-16,51
2025-03-23,56
2025-03-30,46
2025-04-06,48
2025-04-13,57
2025-04-20,62
2025-04-27,52
2025-05-04,52
2025-05-11,65
2025-05-18,72
2025-05-25,67
2025-06-01,63
2025-06-08,75
2025-06-15,78
2025-06-22,71
2025-06-29,67
2025-07-06,81
2025-07-13,79
2025-07-20,87
2025-07-27,100
2025-08-03,87
2025-08-10,89
2025-08-17,76
2025-08-24,83
2025-08-31,78
2025-09-07,86
2025-09-14,90
2025-09-21,83
2025-09-28,78
2025-10-05,79
