Category: All categories

Week,padel: (Berlin),squash: (Berlin),badminton: (Berlin)
2020-10-04,0,29,27
2020-10-11,0,29,29
2020-10-18,0,41,21
2020-10-25,0,33,24
2020-11-01,7,16,20
2020-11-08,0,18,18
2020-11-15,0,16,15
2020-11-22,0,13,10
2020-11-29,0,7,10
2020-12-06,0,8,9
2020-12-13,0,9,0
2020-12-20,0,12,11
2020-12-27,0,10,10
2021-01-03,0,8,8
2021-01-10,0,9,10
2021-01-17,0,11,12
2021-01-24,0,9,16
2021-01-31,0,12,9
2021-02-07,6,7,9
2021-02-14,0,0,13
2021-02-21,0,7,16
2021-02-28,0,7,14
2021-03-07,0,8,22
2021-03-14,0,8,14
2021-03-21,0,9,8
2021-03-28,0,0,14
2021-04-04,0,11,11
2021-04-11,0,9,11
2021-04-18,0,9,13
2021-04-25,0,7,11
2021-05-02,0,10,10
2021-05-09,8,8,11
2021-05-16,0,13,10
2021-05-23,0,12,9
2021-05-30,0,14,18
2021-06-06,0,14,13
2021-06-13,7,10,13
2021-06-20,0,11,8
2021-06-27,0,12,11
2021-07-04,0,13,18
2021-07-11,8,22,17
2021-07-18,0,11,25
2021-07-25,9,14,66
2021-08-01,10,13,51
2021-08-08,0,16,23
2021-08-15,10,18,18
2021-08-22,0,21,26
2021-08-29,0,21,21
2021-09-05,0,20,20
2021-09-12,0,24,28
2021-09-19,10,21,30
2021-09-26,7,25,22
2021-10-03,0,27,27
2021-10-10,0,31,26
2021-10-17,0,32,27
2021-10-24,0,27,32
2021-10-31,0,19,22
2021-11-07,9,25,23
2021-11-14,0,24,27
2021-11-21,0,20,20
2021-11-28,0,26,19
2021-12-05,0,22,10
2021-12-12,0,23,18
2021-12-19,0,27,14
2021-12-26,0,17,18
2022-01-02,8,32,22
2022-01-09,0,36,25
2022-01-16,12,26,34
2022-01-23,10,33,26
2022-01-30,0,33,31
2022-02-06,0,25,30
2022-02-13,8,32,25
2022-02-20,0,32,27
2022-02-27,0,23,21
2022-03-06,0,27,38
2022-03-13,8,24,33
2022-03-20,5,21,31
2022-03-27,8,21,30
2022-04-03,0,20,23
2022-04-10,9,21,21
2022-04-17,6,27,20
2022-04-24,8,28,26
2022-05-01,11,22,21
2022-05-08,10,24,35
2022-05-15,0,17,25
2022-05-22,0,31,26
2022-05-29,6,20,22
2022-06-05,0,15,21
2022-06-12,10,16,23
2022-06-19,8,23,21
2022-06-26,7,10,13
2022-07-03,11,25,17
2022-07-10,15,19,15
2022-07-17,10,19,19
2022-07-24,13,17,22
2022-07-31,15,23,14
2022-08-07,15,28,19
2022-08-14,21,27,16
2022-08-21,12,33,24
2022-08-28,11,24,20
2022-09-04,8,24,27
2022-09-11,12,24,20
2022-09-18,0,27,25
2022-09-25,12,28,26
2022-10-02,12,32,21
2022-10-09,13,32,21
2022-10-16,18,33,28
2022-10-23,14,33,18
2022-10-30,13,36,22
2022-11-06,9,29,30
2022-11-13,14,33,25
2022-11-20,12,35,21
2022-11-27,10,25,25
2022-12-04,9,30,22
2022-12-11,9,24,20
2022-12-18,14,26,15
2022-12-25,14,19,20
2023-01-01,18,26,28
2023-01-08,13,35,29
2023-01-15,21,37,38
2023-01-22,15,36,29
2023-01-29,13,33,25
2023-02-05,16,32,34
2023-02-12,15,34,35
2023-02-19,17,34,29
2023-02-26,17,26,30
2023-03-05,16,33,39
2023-03-12,14,24,24
2023-03-19,15,26,25
2023-03-26,19,25,21
2023-04-02,15,25,24
2023-04-09,27,33,25
2023-04-16,17,20,19
2023-04-23,16,22,33
2023-04-30,19,23,25
2023-05-07,10,23,25
2023-05-14,20,24,22
2023-05-21,19,18,30
2023-05-28,16,18,29
2023-06-04,20,19,24
2023-06-11,23,17,25
2023-06-18,26,21,29
2023-06-25,23,19,29
2023-07-02,11,16,16
2023-07-09,18,20,18
2023-07-16,23,20,20
2023-07-23,23,18,19
2023-07-30,22,29,22
2023-08-06,25,23,24
2023-08-13,20,21,18
2023-08-20,20,13,31
2023-08-27,24,26,33
2023-09-03,29,23,27
2023-09-10,27,27,28
2023-09-17,21,26,30
2023-09-24,23,21,18
2023-10-01,21,31,33
2023-10-08,17,36,27
2023-10-15,6,34,26
2023-10-22,18,38,25
2023-10-29,19,38,26
2023-11-05,18,26,30
2023-11-12,21,31,27
2023-11-19,17,35,28
2023-11-26,12,27,25
2023-12-03,13,25,25
2023-12-10,17,25,28
2023-12-17,13,18,17
2023-12-24,13,18,16
2023-12-31,19,29,27
2024-01-07,12,29,24
2024-01-14,23,38,37
2024-01-21,14,32,30
2024-01-28,20,28,30
2024-02-04,21,29,27
2024-02-11,20,31,29
2024-02-18,19,26,34
2024-02-25,21,26,34
2024-03-03,18,32,35
2024-03-10,18,28,29
2024-03-17,24,27,26
2024-03-24,18,24,21
2024-03-31,24,20,25
2024-04-07,19,14,30
2024-04-14,24,23,32
2024-04-21,21,24,30
2024-04-28,24,20,27
2024-05-05,26,20,41
2024-05-12,30,19,24
2024-05-19,31,17,34
2024-05-26,34,20,37
2024-06-02,31,26,26
2024-06-09,26,18,32
2024-06-16,23,22,23
2024-06-23,31,13,19
2024-06-30,26,21,21
2024-07-07,37,14,20
2024-07-14,28,22,24
2024-07-21,33,24,38
2024-07-28,43,13,100
2024-08-04,38,16,78
2024-08-11,37,21,35
2024-08-18,43,15,25
2024-08-25,39,24,33
2024-09-01,51,18,26
2024-09-08,35,23,38
2024-09-15,32,29,29
2024-09-22,30,26,23
2024-09-29,37,24,33
2024-10-06,27,36,26
2024-10-13,30,35,31
2024-10-20,34,33,26
2024-10-27,31,24,34
2024-11-03,27,32,35
2024-11-10,28,29,32
2024-11-17,33,22,29
2024-11-24,30,33,33
2024-12-01,31,24,30
2024-12-08,23,25,30
2024-12-15,22,15,25
2024-12-22,29,15,23
2024-12-29,26,34,26
2025-01-05,26,26,33
2025-01-12,26,37,36
2025-01-19,27,27,39
2025-01-26,20,27,26
2025-02-02,24,19,29
2025-02-09,29,18,30
2025-02-16,24,21,30
2025-02-23,31,32,27
2025-03-02,25,20,32
2025-03-09,34,32,33
2025-03-16,41,23,38
2025-03-23,39,23,27
2025-03-30,36,17,30
2025-04-06,38,20,29
2025-04-13,37,21,28
2025-04-20,44,16,33
2025-04-27,48,22,31
2025-05-04,46,15,33
2025-05-11,56,21,31
2025-05-18,54,14,29
2025-05-25,60,20,28
2025-06-01,67,18,29
2025-06-08,60,21,31
2025-06-15,62,15,25
2025-06-22,60,14,25
2025-06-29,59,15,33
2025-07-06,70,19,25
2025-07-13,64,24,28
2025-07-20,69,19,37
2025-07-27,73,17,24
2025-08-03,77,17,22
2025-08-10,74,16,24
2025-08-17,76,15,21
2025-08-24,68,17,29
2025-08-31,81,21,24
2025-09-07,76,18,33
2025-09-14,63,21,24
2025-09-21,53,26,28
2025-09-28,62,25,29
2025-10-05,57,27,32
