Category: All categories

Week,padel: (Worldwide)
2020-10-04,27
2020-10-11,32
2020-10-18,29
2020-10-25,28
2020-11-01,27
2020-11-08,26
2020-11-15,30
2020-11-22,32
2020-11-29,29
2020-12-06,32
2020-12-13,32
2020-12-20,29
2020-12-27,31
2021-01-03,30
2021-01-10,23
2021-01-17,28
2021-01-24,27
2021-01-31,26
2021-02-07,27
2021-02-14,28
2021-02-21,30
2021-02-28,31
2021-03-07,33
2021-03-14,30
2021-03-21,31
2021-03-28,33
2021-04-04,42
2021-04-11,40
2021-04-18,43
2021-04-25,38
2021-05-02,33
2021-05-09,39
2021-05-16,35
2021-05-23,35
2021-05-30,35
2021-06-06,37
2021-06-13,34
2021-06-20,35
2021-06-27,33
2021-07-04,36
2021-07-11,35
2021-07-18,41
2021-07-25,38
2021-08-01,39
2021-08-08,36
2021-08-15,33
2021-08-22,34
2021-08-29,38
2021-09-05,40
2021-09-12,41
2021-09-19,41
2021-09-26,37
2021-10-03,39
2021-10-10,35
2021-10-17,37
2021-10-24,36
2021-10-31,33
2021-11-07,38
2021-11-14,43
2021-11-21,37
2021-11-28,35
2021-12-05,30
2021-12-12,33
2021-12-19,29
2021-12-26,31
2022-01-02,34
2022-01-09,34
2022-01-16,34
2022-01-23,35
2022-01-30,36
2022-02-06,37
2022-02-13,35
2022-02-20,39
2022-02-27,38
2022-03-06,40
2022-03-13,38
2022-03-20,42
2022-03-27,42
2022-04-03,40
2022-04-10,37
2022-04-17,36
2022-04-24,36
2022-05-01,43
2022-05-08,38
2022-05-15,37
2022-05-22,40
2022-05-29,41
2022-06-05,41
2022-06-12,41
2022-06-19,45
2022-06-26,40
2022-07-03,41
2022-07-10,44
2022-07-17,44
2022-07-24,38
2022-07-31,45
2022-08-07,41
2022-08-14,37
2022-08-21,36
2022-08-28,37
2022-09-04,37
2022-09-11,42
2022-09-18,46
2022-09-25,44
2022-10-02,46
2022-10-09,41
2022-10-16,42
2022-10-23,41
2022-10-30,46
2022-11-06,42
2022-11-13,45
2022-11-20,42
2022-11-27,35
2022-12-04,36
2022-12-11,38
2022-12-18,33
2022-12-25,37
2023-01-01,35
2023-01-08,40
2023-01-15,40
2023-01-22,39
2023-01-29,37
2023-02-05,37
2023-02-12,35
2023-02-19,44
2023-02-26,44
2023-03-05,44
2023-03-12,47
2023-03-19,47
2023-03-26,47
2023-04-02,38
2023-04-09,45
2023-04-16,42
2023-04-23,44
2023-04-30,41
2023-05-07,45
2023-05-14,47
2023-05-21,45
2023-05-28,46
2023-06-04,43
2023-06-11,44
2023-06-18,44
2023-06-25,45
2023-07-02,50
2023-07-09,53
2023-07-16,51
2023-07-23,49
2023-07-30,50
2023-08-06,46
2023-08-13,41
2023-08-20,43
2023-08-27,48
2023-09-03,52
2023-09-10,47
2023-09-17,51
2023-09-24,50
2023-10-01,46
2023-10-08,49
2023-10-15,48
2023-10-22,46
2023-10-29,43
2023-11-05,43
2023-11-12,45
2023-11-19,49
2023-11-26,43
2023-12-03,45
2023-12-10,44
2023-12-17,41
2023-12-24,41
2023-12-31,39
2024-01-07,41
2024-01-14,44
2024-01-21,44
2024-01-28,48
2024-02-04,47
2024-02-11,45
2024-02-18,48
2024-02-25,54
2024-03-03,53
2024-03-10,49
2024-03-17,53
2024-03-24,58
2024-03-31,54
2024-04-07,50
2024-04-14,50
2024-04-21,56
2024-04-28,60
2024-05-05,55
2024-05-12,54
2024-05-19,63
2024-05-26,61
2024-06-02,58
2024-06-09,55
2024-06-16,58
2024-06-23,51
2024-06-30,53
2024-07-07,58
2024-07-14,53
2024-07-21,54
2024-07-28,53
2024-08-04,54
2024-08-11,52
2024-08-18,53
2024-08-25,54
2024-09-01,64
2024-09-08,67
2024-09-15,63
2024-09-22,57
2024-09-29,62
2024-10-06,59
2024-10-13,54
2024-10-20,55
2024-10-27,69
2024-11-03,53
2024-11-10,60
2024-11-17,56
2024-11-24,62
2024-12-01,60
2024-12-08,53
2024-12-15,54
2024-12-22,57
2024-12-29,52
2025-01-05,56
2025-01-12,55
2025-01-19,54
2025-01-26,56
2025-02-02,55
2025-02-09,60
2025-02-16,63
2025-02-23,57
2025-03-02,58
2025-03-09,58
2025-03-16,67
2025-03-23,68
2025-03-30,66
2025-04-06,60
2025-04-13,68
2025-04-20,67
2025-04-27,63
2025-05-04,59
2025-05-11,64
2025-05-18,70
2025-05-25,75
2025-06-01,71
2025-06-08,75
2025-06-15,76
2025-06-22,78
2025-06-29,78
2025-07-06,78
2025-07-13,82
2025-07-20,85
2025-07-27,86
2025-08-03,95
2025-08-10,90
2025-08-17,89
2025-08-24,93
2025-08-31,100
2025-09-07,100
2025-09-14,92
2025-09-21,86
2025-09-28,80
2025-10-05,82
